Below or Above,Budget Area,Below Minimum Wage,Wage Correction,Hrly Correction,Hrly Rate Bin Size,Hrly Correction (bin),Hrly Rate (bin),Hrly Rate Correction Bin Size,Hrly Rate,ID,레코드 수,Service Dt,Service Time in Years
Above,Human Resources,Above Minimum Wage,"-$11,580.8",$19.34,$19.00,$19.00,$19.00,$19.00,$19.34,133,1,1995-05-02,20.679452055
Above,Logistics,Above Minimum Wage,"-$5,403.0",$17.03,$17.00,$17.00,$17.00,$17.00,$17.03,109,1,1995-05-08,20.663013699
Above,Operations,Above Minimum Wage,"-$3,214.3",$16.20,$16.00,$16.00,$16.00,$16.00,$16.20,47,1,1995-05-13,20.649315068
Below,Logistics,Below Minimum Wage,"$8,319.5",$15.00,$11.00,$15.00,$11.00,$15.00,$11.88,921,1,1995-07-14,20.482191781
Below,Logistics,Below Minimum Wage,"$7,520.9",$15.00,$12.00,$15.00,$12.00,$15.00,$12.18,923,1,1995-07-14,20.482191781
Above,Facilities,Above Minimum Wage,"-$3,928.8",$16.47,$16.00,$16.00,$16.00,$16.00,$16.47,818,1,1995-08-04,20.427397260
Below,Human Resources,Below Minimum Wage,"$2,256.2",$15.00,$14.00,$15.00,$14.00,$15.00,$14.15,459,1,1995-08-05,20.424657534
Below,Facilities,Below Minimum Wage,"$9,737.4",$15.00,$11.00,$15.00,$11.00,$15.00,$11.35,365,1,1995-08-07,20.419178082
Above,Legal,Above Minimum Wage,"-$10,422.4",$18.91,$18.00,$18.00,$18.00,$18.00,$18.91,222,1,1995-08-18,20.389041096
Above,Marketing,Above Minimum Wage,"-$7,140.6",$17.68,$17.00,$17.00,$17.00,$17.00,$17.68,632,1,1995-08-21,20.380821918
Above,Finance,Above Minimum Wage,"-$27,681.5",$25.38,$25.00,$25.00,$25.00,$25.00,$25.38,555,1,1995-08-25,20.369863014
Above,Services,Above Minimum Wage,"-$3,053.6",$16.14,$16.00,$16.00,$16.00,$16.00,$16.14,491,1,1995-08-28,20.361643836
Above,Supply Chain,Above Minimum Wage,"-$14,147.0",$20.30,$20.00,$20.00,$20.00,$20.00,$20.30,171,1,1995-11-01,20.189041096
Above,Logistics,Above Minimum Wage,"-$8,748.8",$18.28,$18.00,$18.00,$18.00,$18.00,$18.28,105,1,1995-11-16,20.147945205
Above,Facilities,Above Minimum Wage,"-$1,836.0",$15.69,$15.00,$15.00,$15.00,$15.00,$15.69,827,1,1995-12-16,20.065753425
Above,Facilities,Above Minimum Wage,"-$15,049.7",$20.64,$20.00,$20.00,$20.00,$20.00,$20.64,877,1,1996-02-02,19.939726027
